QRR,TAPI,VMA,VMACD,VOSC,VSTD,CR,PSY,VR,AR,BR,WAD,MOBV,PVT,WVAD,BBI,MA,EXPMA,MACD,MTM,PRICEOSC,TRIX,BIAS,CCI,DBCD,DPO,K,D,J,RSI,SRDM,VROC,VRSI,WR,ADTM,CDP,DPTB,JDQS,JDRS,MI,MICD,RC,RCCD,SRMI,ATR,CVLT,MASS,STD,VHF,49
-1.18493188,-0.845818054,0.300787824,-0.084821128,0.66700347,1.017371651,-1.058540893,-0.5121806,-1.094423202,-0.695451382,-0.619344514,0.818318482,-0.913240916,1.242393547,-1.774957733,0.32460131,0.316733217,0.30510697,-0.434177188,-0.66184106,-0.605432445,-0.610049458,-0.620746228,-1.114084361,-0.233212606,-0.493812964,-1.492086405,-1.26254105,-1.486186374,-0.99251449,-0.383380776,-0.806922969,-0.970359626,1.462301791,-1.401120805,0.285531389,0.43470291,-0.703350955,0.102721552,-0.379802021,0.120832575,-0.64708346,0.887932638,-0.36033435,-0.109970326,-0.383223117,-1.929440056,-0.14536024,0.572767131,-1
-1.184071652,-0.562323345,0.458764955,0.695605206,0.766354876,0.96187523,-0.983986204,-0.5121806,-1.13184115,-0.778413885,-0.6508708,0.828911163,-0.051100768,1.242549249,-1.735735335,0.33454343,0.333244021,0.315256651,-0.385385914,-0.36286836,-0.662429194,-0.581895445,-0.657543477,-1.375298259,-0.195110416,-0.523231762,-1.318217058,-1.051799685,-1.388107052,-0.979922823,-0.402292462,-0.478548707,-0.737184806,1.443007494,-1.739314109,0.290311606,0.43470291,-0.703350955,-0.50626037,-0.363816842,0.022494298,-1.065181169,0.85839344,-0.406510531,-0.097474459,-0.267364994,-1.900376212,-0.091754194,0.216202027,1
-0.434168192,0.344839077,1.218517537,1.614704229,0.700271595,0.938228319,-1.128210782,-0.5121806,-1.313654076,-0.727482135,-0.888135274,0.819024661,-1.3021589,1.241835036,-1.628930596,0.350776668,0.349788973,0.329968647,-0.27448801,-0.360943643,-0.715704269,-0.560578836,-0.763045417,-1.479047345,-0.233212606,-0.612219167,-1.069752543,-0.833629681,-1.149983463,-1.05843771,-0.410299305,1.130652644,0.037196516,1.608348524,-1.297863636,0.33783635,1.197164408,-0.703350955,-0.100272422,-0.331846484,-0.120836588,-0.868166414,0.827292072,-0.468078772,-0.077302795,-0.325871374,-1.841290375,-0.02035922,0.208343843,-1
0.76025791,1.429673352,1.035230899,2.084105795,0.286470975,0.936082588,-0.88339918,-0.5121806,-1.348043196,-0.847193326,-0.873849925,0.843081817,-1.915398566,1.253632026,-1.560202602,0.363176736,0.359333481,0.35391547,-0.048126935,0.010526728,-0.795490529,-0.553741432,-0.378843314,-0.147661366,-0.271314796,-0.277914649,-0.591311138,-0.646334353,-0.416629787,-0.652793902,-0.362377751,1.525406095,1.102198592,1.189563507,-0.989917381,0.394857507,0.43470291,-0.703350955,-0.100272422,-0.31439289,-0.327195095,-0.367543416,0.794344504,-0.260285958,-0.073176023,-0.458823142,-1.753859305,0.02817022,-0.049993959,-1
0.803914464,0.84333512,0.560454969,1.668348892,-0.332292252,0.702277919,-0.508407634,0.068145574,-0.982918055,-0.097378196,-0.099771725,0.892702643,1.918894297,1.291222059,-0.867612883,0.369808238,0.360306714,0.370403361,0.100957512,0.631568731,-0.915043565,-0.576063543,0.589700638,1.213117817,-0.233212606,0.65124687,-0.060470099,-0.634903801,0.628860108,1.187863814,-0.199552025,0.742929404,0.729989426,-0.837004052,-0.793833059,0.372258179,0.43470291,-0.703350955,-0.100272422,-0.315283069,-0.606073336,0.341488704,0.759550737,0.254065392,-0.101122526,-0.594704532,-1.604388105,0.143777439,0.047251069,1
-0.313951377,-0.237030887,0.045009681,1.372605883,-0.629830589,0.641202156,-0.491071575,0.068145574,-1.242376391,-0.459479068,-0.32590458,0.85824112,-0.944989163,1.275380005,-1.675720868,0.359185349,0.341166475,0.350117668,-0.175954365,0.270363516,-1.020215317,-0.618696762,0.181525146,1.041703231,-0.461825746,0.258024524,-0.590631859,-0.916787558,-0.096011965,0.470092045,-0.258258915,-0.211053388,-0.176198682,0.07238853,-1.039459962,0.385233053,-0.328292526,-0.275741105,0.102721552,-0.398838155,-0.880395363,0.722186759,0.722342708,0.129646237,-0.066457637,-0.97427525,-1.373394419,0.148157052,0.202450205,-1
4.398805844,2.421812712,-0.051143106,1.890027271,-0.805935235,0.658755873,-0.339027992,0.068145574,-0.997273797,-0.313269421,-0.262466735,0.876554689,-1.512361543,1.275644566,-1.136763955,0.355301722,0.332202491,0.341472245,-0.351740859,0.195299555,-1.147602247,-0.631366068,0.252075406,1.347067706,-0.728541075,0.301956595,-0.744057951,-1.040968689,-0.255493718,0.511470601,-0.006043358,1.162224133,3.023018561,0.047425011,0.024923283,0.329599012,-0.328292526,-0.703350955,0.102721552,-0.477257593,-1.166487609,0.70571928,0.682720418,0.03344586,-0.063519375,-1.037102553,-1.252987064,0.157998177,-0.088302607,-1
0.131861607,-0.361391746,-0.776690673,0.107652245,-1.314482067,-0.986070966,-0.53820492,-0.5121806,-1.13596845,-0.205880939,-0.620998433,0.855181012,-0.06657163,1.253888303,-0.93828824,0.349368094,0.323904403,0.327905739,-0.605850187,-0.238403331,-1.22511415,-0.625131965,-0.133496605,-0.484554637,-0.995256405,-0.04377668,-0.991817228,-1.140811761,-0.631886422,-0.545139041,-0.283235485,-0.009134783,0.209807631,0.755955977,-0.364116355,0.326568696,-0.328292526,-0.703350955,0.102721552,-0.552298916,-1.446694745,0.954471714,0.640683866,-0.164085581,-0.155480373,-1.555979128,-1.114694267,0.15356655,-0.062763508,1
-0.026205225,-0.426867962,-0.673207541,-0.113873404,-1.678852344,-0.973001965,-0.393405463,-1.092513738,-1.030863169,-0.038144344,-0.424217828,0.843882153,-0.235220585,1.253038482,-0.587445382,0.352873707,0.325594755,0.326946465,-0.738337993,-0.078651824,-1.18176354,-0.590341649,-0.241034379,-0.599255385,-1.147665165,-0.076921858,-0.993418075,-1.151009081,-0.623048063,-0.692292794,-0.408357347,0.036290588,0.063323028,1.009846466,-0.060342107,0.312697532,0.43470291,-1.237588454,-0.100272422,-0.539950537,-1.66975937,0.950248595,0.596233053,0.014205785,-0.055959128,-1.543306809,-0.937037526,0.135746414,-0.195370365,1
-1.001703389,-1.095588541,-0.622926213,-0.352234129,-1.865243182,-0.841894031,-0.417394156,-1.092513738,-1.003875963,-0.067712506,-0.352224185,0.833007,0.747611589,1.250878767,-0.586287925,0.355898677,0.33187808,0.327514512,-0.865000329,-0.265349368,-1.086700038,-0.540267726,-0.435846706,-0.896190934,-1.223869545,-0.25610908,-1.010248608,-1.165408164,-0.639625741,-1.072389796,-0.516867996,-1.128991879,-1.505431812,1.285365239,-0.118228702,0.323068895,0.43470291,-1.313986615,0.102721552,-0.512720191,-1.804547355,0.955321706,0.549652009,-0.171781611,-0.03002649,-1.434455395,-0.774152245,0.132251046,-0.191441273,1
-0.359543443,-0.61078496,-0.55851083,-0.028753348,-1.229468418,-1.031662215,-0.514857565,-1.092513738,-1.047599245,-0.116484002,-0.455628532,0.837055758,-0.228204721,1.251737109,-0.264297831,0.361841713,0.335224634,0.33366309,-0.937141033,-0.120354024,-0.978243104,-0.475111296,-0.434419719,-0.754999659,-1.223869545,-0.270461887,-0.949165458,-1.177521138,-0.503471273,-0.949303003,-0.500884186,-0.509119074,-0.690074078,1.248599861,0.155559247,0.325715086,1.197164408,-1.313986615,-0.50626037,-0.480863959,-1.848590753,1.191552414,0.500656703,-0.675871587,0.019263681,-1.331165602,-0.700135257,0.140479725,-0.447814529,-1
-0.141905845,-0.440222459,-0.541317493,0.065235577,-1.220874572,-1.00974388,-0.384031298,-1.092513738,-1.083574625,0.177566453,-0.388748004,0.848166304,0.190429134,1.252547043,-0.105631033,0.367704357,0.339954203,0.339212869,-1.021146671,0.122801884,-0.865030698,-0.400503162,-0.486685513,-0.777206396,-1.261971735,-0.299711304,-0.963650965,-1.230101679,-0.470295777,-0.878665048,-0.446927624,-0.546465755,-0.356280299,1.243214777,0.464287753,0.342659247,1.197164408,-1.313986615,-0.50626037,-0.425437006,-1.853526651,1.110378165,0.449815198,-0.732309141,0.03742148,-1.349901556,-0.665961286,0.127413707,-0.316189945,-1
0.596384542,0.036136991,-0.517778597,0.075772836,-1.306278279,-0.540598879,-0.157898245,-1.092513738,-0.809526105,0.313725802,-0.08280323,0.856310898,-0.873232176,1.254792637,-0.149875266,0.36994422,0.34138844,0.345273463,-1.104462764,0.100346852,-0.723400324,-0.314834522,-0.491556297,-0.660052238,-1.185767355,-0.286339123,-0.944090339,-1.300810247,-0.347804514,-0.713831036,-0.484033964,0.204885414,0.594265181,1.098355333,0.385019623,0.361844135,1.960159843,-1.313986615,-1.115242292,-0.341661277,-1.759554746,0.995633701,0.397269508,-0.597628613,0.0689005,-0.879591445,-0.667398509,0.113244983,-0.267076295,1
0.109495688,-0.230199647,-0.598446745,-0.326961432,-1.431807573,-0.568378693,-0.089670535,-1.092513738,-0.599950804,0.335284447,0.065845851,0.87387121,-0.617171525,1.259690744,-0.089304319,0.373552461,0.335019743,0.34876973,-1.221186137,-0.339771757,-0.5086,-0.217099877,-0.435865733,-0.551010088,-1.071460785,-0.212836703,-1.073200855,-1.417894198,-0.467156893,-0.423578825,-0.488664788,0.387317021,0.099825238,0.972079841,0.226483363,0.334208507,1.197164408,-1.313986615,-1.115242292,-0.228966145,-1.581672573,0.84748902,0.343303665,-0.68613296,0.116292355,-0.812740842,-0.721693603,0.144942561,-0.288686301,-1
-0.748581401,-0.84482818,-0.507248962,-0.642599022,-1.613825993,-0.537594789,-0.326490337,-1.092513738,-0.793894172,0.120334371,-0.311968728,0.859935949,-0.619275859,1.253956774,0.144217342,0.376857949,0.327694888,0.344532866,-1.429571479,-0.627196155,-0.281945454,-0.102673924,-0.850605367,-0.852522935,-0.766643265,-0.618700217,-1.364399346,-1.520793541,-0.926604858,-0.977466798,-0.554930377,-0.808783133,-1.179685526,1.25733371,0.414484421,0.343470177,1.197164408,-1.313986615,-0.993311918,-0.108791989,-1.308869284,0.773468126,0.288059683,-1.082478514,0.139171182,-1.006540536,-0.875636163,0.19519888,-0.285739482,-1
-0.32556445,-0.551180288,-0.442262251,-0.472065925,-1.47293976,-0.634261488,-0.187529381,-1.092513738,-0.566427605,0.336035415,-0.135125967,0.872694245,0.325074023,1.256051521,0.332636306,0.381309453,0.340927435,0.350819826,-1.520401238,-0.460387352,-0.080056123,0.040710442,-0.853858898,-0.881481277,-0.690438885,-0.650552751,-1.418750282,-1.511103163,-1.046466478,-0.805025862,-0.531447621,-0.829583033,-0.728266767,1.204690452,0.473674768,0.327593028,0.43470291,-0.703350955,-1.115242292,0.035660466,-0.996388968,0.811042252,0.231679578,-1.221007057,0.236563012,-0.98318962,-0.996762129,0.201617458,-0.297526758,1
-0.330940873,-0.345774994,-0.481335447,-0.414791034,-1.18445453,-0.564997461,-0.198254343,-1.672839913,-0.49829975,0.347024424,-0.129143238,0.856122584,0.84629012,1.253819445,0.124547503,0.384893748,0.353903868,0.353116787,-1.645446709,-0.797212819,0.158751296,0.200786116,-1.148921851,-1.142701477,-0.423723556,-0.934203449,-1.562549656,-1.465951262,-1.386628238,-1.048073599,-0.567448538,-0.920911315,-0.425023091,1.318254168,0.374850356,0.313188357,0.43470291,-0.825368162,-0.993311918,0.209359484,-0.665683798,0.631971278,0.174873427,-1.398015751,0.420732614,-1.051395666,-1.096569287,0.22657397,-0.305384942,1
-0.255240839,-0.264526225,-0.17593533,-0.450700501,-0.729735625,-0.547744793,-0.114476684,-2.253166087,-0.435427916,0.287312683,-0.152592564,0.83399565,-0.813327254,1.247796622,0.10541539,0.398768244,0.367682792,0.3625421,-1.671530543,-1.256578597,0.412284599,0.3829828,-1.613948523,-1.456795591,-0.233212606,-1.427431876,-1.623429455,-1.317222472,-1.68364833,-1.63989754,-0.538169784,-0.991408124,-0.328524043,1.582698339,0.397535644,0.340952027,0.43470291,-0.425789291,-0.84458366,0.409223676,-0.286568858,0.40802072,0.118067276,-1.532696279,0.443248285,-1.02157233,-1.159567565,0.261787723,0.133691094,-1
0.201755104,0.148082122,-0.16881604,-0.507452316,-0.311851983,-0.369519842,0.040452919,-1.672839913,-0.064211085,0.739349335,0.044664128,0.861442464,-1.861335677,1.250968391,0.462704432,0.420503215,0.39360151,0.390603634,-1.45346779,-1.43172784,0.74594876,0.57724549,-1.708567304,-1.432275895,0.071604914,-1.509287452,-1.484203313,-1.05983763,-1.709743356,-1.556766574,-0.547849699,-0.285715176,0.16476192,1.757395616,0.680971358,0.401729069,-0.328292526,-0.275741105,-0.993311918,0.700289362,0.098621034,0.471474869,0.061687171,-1.640440701,0.499256841,-1.068751077,-1.123636988,0.296720598,0.11601018,-1
